tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,-1.0673026094257825,-1.6219365951314737,0.0,0.000196,0.000196,0.0
yellow,-1.0509995588927967,-2.421770459377596,0.0,0.000196,0.000196,0.0
yellow,-1.0346657825257333,-3.221603696793997,0.0,0.000196,0.000196,0.0
yellow,-1.0183117215446789,-4.021436519743434,0.0,0.000196,0.000196,0.0
yellow,-1.0019477874752756,-4.821269140771421,0.0,0.000196,0.000196,0.0
yellow,-0.9855851810068036,-5.621101788957297,0.0,0.000196,0.000196,0.0
yellow,-0.9692344521891808,-6.420934680024999,0.0,0.000196,0.000196,0.0
yellow,-0.9529060100292067,-7.220768026350806,0.0,0.000196,0.000196,0.0
yellow,-0.9366103912849439,-8.0206020420579,0.0,0.000196,0.000196,0.0
yellow,-0.9203597345955254,-8.820436972490304,0.0,0.000196,0.000196,0.0
yellow,-0.9041638853951033,-9.62027301449428,0.0,0.000196,0.000196,0.0
yellow,-0.8880329308404724,-10.42011036779914,0.0,0.000196,0.000196,0.0
yellow,-0.8719773552715142,-11.21994923768389,0.0,0.000196,0.000196,0.0
yellow,-0.8560076317515548,-12.019789826284685,0.0,0.000196,0.000196,0.0
yellow,-0.840137557900489,-12.819632398180236,0.0,0.000196,0.000196,0.0
yellow,-0.8243759715666079,-13.619477115025063,0.0,0.000196,0.000196,0.0
yellow,-0.8087323965484776,-14.419324148415871,0.0,0.000196,0.000196,0.0
yellow,-0.7932173392694796,-15.219173684904597,0.0,0.000196,0.000196,0.0
yellow,-0.7778411589811406,-16.019025903216885,0.0,0.000196,0.000196,0.0
yellow,-0.7626191032277782,-16.8188810693891,0.0,0.000196,0.000196,0.0
yellow,-0.7475595218879207,-17.61873931068341,0.0,0.000196,0.000196,0.0
yellow,-0.732664857855131,-18.418600640159305,0.0,0.000196,0.000196,0.0
yellow,-0.7171668765181292,-19.218450279693155,0.0,0.000196,0.000196,0.0
yellow,-0.6980730505361545,-20.01822073329951,0.0,0.000196,0.000196,0.0
yellow,-0.6716980165474916,-20.817781495076318,0.0,0.000196,0.000196,0.0
yellow,-0.6343455320441074,-21.616899573275045,0.0,0.000196,0.000196,0.0
yellow,-0.582768648531873,-22.415217615210757,0.0,0.000196,0.000196,0.0
yellow,-0.5136494303861051,-23.21219880692386,0.0,0.000196,0.000196,0.0
yellow,-0.4238805024427911,-24.007109528684282,0.0,0.000196,0.000196,0.0
