tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,1.6104913797905238,1.0846457194740884,0.0,0.000196,0.000196,0.0
yellow,1.904148853949554,1.8287997948232362,0.0,0.000196,0.000196,0.0
yellow,2.1978046450910838,2.5729545343153113,0.0,0.000196,0.000196,0.0
yellow,2.4914387218215714,3.317117842259143,0.0,0.000196,0.000196,0.0
yellow,2.785029663299687,4.061298169036561,0.0,0.000196,0.000196,0.0
yellow,3.0785594773114617,4.8055026083439705,0.0,0.000196,0.000196,0.0
yellow,3.372009338091397,5.549738577611469,0.0,0.000196,0.000196,0.0
yellow,3.6653614744319003,6.294013071993198,0.0,0.000196,0.000196,0.0
yellow,3.958605472963159,7.038330179448016,0.0,0.000196,0.000196,0.0
yellow,4.251756239378679,7.7826840113072056,0.0,0.000196,0.000196,0.0
yellow,4.544823716383974,8.527070639947846,0.0,0.000196,0.000196,0.0
yellow,4.83781687785111,9.271486522828537,0.0,0.000196,0.000196,0.0
yellow,5.130743566507679,10.015928565389851,0.0,0.000196,0.000196,0.0
yellow,5.423612654534315,10.760393270382382,0.0,0.000196,0.000196,0.0
yellow,5.716436272017391,11.504875861696854,0.0,0.000196,0.000196,0.0
yellow,6.009223397628351,12.249372805222746,0.0,0.000196,0.000196,0.0
yellow,6.301983298190355,12.993880454994507,0.0,0.000196,0.000196,0.0
yellow,6.594724541979826,13.738395440854637,0.0,0.000196,0.000196,0.0
yellow,6.887457892737941,14.482913530192713,0.0,0.000196,0.000196,0.0
yellow,7.180192764464993,15.227431021503786,0.0,0.000196,0.000196,0.0
yellow,7.472938206148628,15.971944356736024,0.0,0.000196,0.000196,0.0
yellow,7.7657037912185025,16.716449771184624,0.0,0.000196,0.000196,0.0
yellow,8.05850074988601,17.460942847622547,0.0,0.000196,0.000196,0.0
yellow,8.351337032524052,18.205420457273256,0.0,0.000196,0.000196,0.0
yellow,8.644221756200865,18.949879010976932,0.0,0.000196,0.000196,0.0
yellow,8.93716404949773,19.69431491307779,0.0,0.000196,0.000196,0.0
yellow,9.230176610466998,20.43872316036452,0.0,0.000196,0.000196,0.0
yellow,9.523267888306782,21.1831004181804,0.0,0.000196,0.000196,0.0
yellow,9.816445503361988,21.92744367547315,0.0,0.000196,0.000196,0.0
yellow,10.109718463070694,22.67174937182419,0.0,0.000196,0.000196,0.0
yellow,10.403096733709862,23.41601356497953,0.0,0.000196,0.000196,0.0
yellow,10.696596441724408,24.16022987758873,0.0,0.000196,0.000196,0.0
yellow,10.99022022138143,24.904397246859226,0.0,0.000196,0.000196,0.0
yellow,11.28397709829617,25.648512086235343,0.0,0.000196,0.000196,0.0
yellow,11.577876057942577,26.3925708196862,0.0,0.000196,0.000196,0.0
yellow,11.871932489455366,27.136567333646575,0.0,0.000196,0.000196,0.0
yellow,12.166155360044973,27.88049804199636,0.0,0.000196,0.000196,0.0
yellow,12.46191723982419,28.62381360365905,0.0,0.000196,0.000196,0.0
yellow,12.806480522441761,29.34445535480883,0.0,0.000196,0.000196,0.0
yellow,13.375748519964006,29.892472496317605,0.0,0.000196,0.000196,0.0
yellow,14.13858172474474,30.102707158434384,0.0,0.000196,0.000196,0.0
yellow,14.937659647070797,30.093321411161206,0.0,0.000196,0.000196,0.0
yellow,15.728199468918646,29.979493481016164,0.0,0.000196,0.000196,0.0
yellow,16.42532023865225,29.598612528084846,0.0,0.000196,0.000196,0.0
yellow,16.977053023485464,29.022875627684883,0.0,0.000196,0.000196,0.0
yellow,17.321319671774706,28.307082997679643,0.0,0.000196,0.000196,0.0
yellow,17.347960761061117,27.51181498916885,0.0,0.000196,0.000196,0.0
yellow,17.155893103976585,26.737182950875415,0.0,0.000196,0.000196,0.0
yellow,16.878675703782136,25.98681589576432,0.0,0.000196,0.000196,0.0
yellow,16.597258140965646,25.237947887779843,0.0,0.000196,0.000196,0.0
yellow,16.31766150820569,24.488397722719665,0.0,0.000196,0.000196,0.0
yellow,16.03891392298928,23.73853122138593,0.0,0.000196,0.000196,0.0
yellow,15.759963713540536,22.98874009747703,0.0,0.000196,0.000196,0.0
yellow,15.479728821438023,22.23942841669811,0.0,0.000196,0.000196,0.0
yellow,15.197220338804895,21.490971527265224,0.0,0.000196,0.000196,0.0
yellow,14.91144458674111,20.743756639016713,0.0,0.000196,0.000196,0.0
yellow,14.621729014046368,19.998059913955778,0.0,0.000196,0.000196,0.0
yellow,14.330756982901509,19.25285184830548,0.0,0.000196,0.000196,0.0
yellow,14.043627036174449,18.506158606799502,0.0,0.000196,0.000196,0.0
yellow,13.764886356798675,17.756302155218865,0.0,0.000196,0.000196,0.0
yellow,13.49895066592425,17.00181155434329,0.0,0.000196,0.000196,0.0
yellow,13.252385403049374,16.240782381550126,0.0,0.000196,0.000196,0.0
yellow,13.028446822059685,15.472827998338124,0.0,0.000196,0.000196,0.0
yellow,12.831201539460855,14.697596831879949,0.0,0.000196,0.000196,0.0
yellow,12.666272797982712,13.91484193842038,0.0,0.000196,0.000196,0.0
yellow,12.533165490977309,13.126080828865192,0.0,0.000196,0.000196,0.0
yellow,12.430502248899296,12.332775990496465,0.0,0.000196,0.000196,0.0
yellow,12.360115122478364,11.535934231398395,0.0,0.000196,0.000196,0.0
yellow,12.321014758734465,10.736957387731293,0.0,0.000196,0.000196,0.0
yellow,12.307788788263887,9.93711660794809,0.0,0.000196,0.000196,0.0
yellow,12.315879664661198,9.137176268092377,0.0,0.000196,0.000196,0.0
yellow,12.340669534481876,8.337569108718098,0.0,0.000196,0.000196,0.0
yellow,12.367941741322682,7.538045845880548,0.0,0.000196,0.000196,0.0
yellow,12.365172280537491,6.738274949745141,0.0,0.000196,0.000196,0.0
yellow,12.283547752298682,5.943331804280454,0.0,0.000196,0.000196,0.0
yellow,12.066247743551271,5.1751764509040425,0.0,0.000196,0.000196,0.0
yellow,11.694234643274411,4.468788130336836,0.0,0.000196,0.000196,0.0
