tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,-1.7922680214198496,0.7461676688500883,0.0,0.000196,0.000196,0.0
yellow,-2.5748909134841327,0.5803323849509939,0.0,0.000196,0.000196,0.0
yellow,-3.3573474831794936,0.4137141185183168,0.0,0.000196,0.000196,0.0
yellow,-4.139568123463871,0.24599185562056713,0.0,0.000196,0.000196,0.0
yellow,-4.921553166790125,0.07717470940346217,0.0,0.000196,0.000196,0.0
yellow,-5.703322615280959,-0.09263813712308058,0.0,0.000196,0.000196,0.0
yellow,-6.484898704097857,-0.2633389194622699,0.0,0.000196,0.000196,0.0
yellow,-7.266294527703057,-0.43486303521009,0.0,0.000196,0.000196,0.0
yellow,-8.047549373280853,-0.6070281159589925,0.0,0.000196,0.000196,0.0
yellow,-8.82868726266326,-0.7797231243305135,0.0,0.000196,0.000196,0.0
yellow,-9.609732083086087,-0.952838626120956,0.0,0.000196,0.000196,0.0
yellow,-10.390706044480252,-1.1262735321976334,0.0,0.000196,0.000196,0.0
yellow,-11.171641190053087,-1.2998831404725024,0.0,0.000196,0.000196,0.0
yellow,-11.952562218200224,-1.4735562463554963,0.0,0.000196,0.000196,0.0
yellow,-12.733494023457462,-1.6471808833735229,0.0,0.000196,0.000196,0.0
yellow,-13.514466751763738,-1.8206213416688182,0.0,0.000196,0.000196,0.0
yellow,-14.29550446639729,-1.9937688823707547,0.0,0.000196,0.000196,0.0
yellow,-15.076631717170962,-2.1665120058579306,0.0,0.000196,0.000196,0.0
yellow,-15.857873062905217,-2.338738401077516,0.0,0.000196,0.000196,0.0
yellow,-16.63926650153447,-2.5102733841762563,0.0,0.000196,0.000196,0.0
yellow,-17.42082686739011,-2.681046035631955,0.0,0.000196,0.000196,0.0
yellow,-18.20257781665844,-2.850944021842756,0.0,0.000196,0.000196,0.0
yellow,-18.984542636404978,-3.0198550080896656,0.0,0.000196,0.000196,0.0
yellow,-19.766747590857705,-3.187650511516463,0.0,0.000196,0.000196,0.0
yellow,-20.549126779085533,-3.3546317628833235,0.0,0.000196,0.000196,0.0
yellow,-21.33162061787346,-3.521075053303814,0.0,0.000196,0.000196,0.0
yellow,-22.11417127474647,-3.6872510678462276,0.0,0.000196,0.000196,0.0
yellow,-22.89671580551266,-3.853455924344289,0.0,0.000196,0.000196,0.0
yellow,-23.67919096858314,-4.019986972882319,0.0,0.000196,0.000196,0.0
yellow,-24.461539257529992,-4.187112894688096,0.0,0.000196,0.000196,0.0
yellow,-25.24370274110327,-4.35510155517348,0.0,0.000196,0.000196,0.0
yellow,-26.025597834827646,-4.5243348565968615,0.0,0.000196,0.000196,0.0
