tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,0.6035826317463617,-1.8454700574438894,0.0,0.000196,0.000196,0.0
yellow,1.2392915693223046,-2.33113881955291,0.0,0.000196,0.000196,0.0
yellow,1.875026062535513,-2.8167741291769293,0.0,0.000196,0.000196,0.0
yellow,2.510784046866491,-3.3023786855808273,0.0,0.000196,0.000196,0.0
yellow,3.146563379800196,-3.7879552909495984,0.0,0.000196,0.000196,0.0
yellow,3.7823618415371794,-4.273506849435572,0.0,0.000196,0.000196,0.0
yellow,4.418177229460682,-4.759036243399176,0.0,0.000196,0.000196,0.0
yellow,5.054007474001783,-5.244546181581071,0.0,0.000196,0.000196,0.0
yellow,5.689850263986104,-5.730039689665394,0.0,0.000196,0.000196,0.0
yellow,6.32570356693079,-6.215519428806392,0.0,0.000196,0.000196,0.0
yellow,6.961565213555012,-6.70098823969156,0.0,0.000196,0.000196,0.0
yellow,7.597432882155968,-7.186449162961429,0.0,0.000196,0.000196,0.0
yellow,8.233304398218317,-7.671905046702177,0.0,0.000196,0.000196,0.0
yellow,8.869177559239118,-8.157358775798297,0.0,0.000196,0.000196,0.0
yellow,9.505050167561473,-8.642813228846622,0.0,0.000196,0.000196,0.0
yellow,10.140920133252639,-9.128271143322488,0.0,0.000196,0.000196,0.0
yellow,10.776785212036195,-9.613735458769781,0.0,0.000196,0.000196,0.0
yellow,11.4126433159032,-10.099208909874724,0.0,0.000196,0.000196,0.0
yellow,12.048493467338226,-10.584692776653975,0.0,0.000196,0.000196,0.0
yellow,12.684336233477248,-11.070186315989062,0.0,0.000196,0.000196,0.0
yellow,13.320172226992428,-11.555688725192168,0.0,0.000196,0.000196,0.0
yellow,13.956002082965632,-12.041199172295354,0.0,0.000196,0.000196,0.0
yellow,14.591826559922,-12.526716663737622,0.0,0.000196,0.000196,0.0
yellow,15.227646344782984,-13.012240299798544,0.0,0.000196,0.000196,0.0
yellow,15.863462078246037,-13.49776924134259,0.0,0.000196,0.000196,0.0
yellow,16.499274499307667,-13.983302520552945,0.0,0.000196,0.000196,0.0
yellow,17.13508422274728,-14.468839332316715,0.0,0.000196,0.000196,0.0
yellow,17.770891932911102,-14.9543787804518,0.0,0.000196,0.000196,0.0
yellow,18.40669830537098,-15.439919980288728,0.0,0.000196,0.000196,0.0
yellow,19.042504015218327,-15.925462047802426,0.0,0.000196,0.000196,0.0
yellow,19.678309713409107,-16.41100413058009,0.0,0.000196,0.000196,0.0
yellow,20.314116124226235,-16.89654528018908,0.0,0.000196,0.000196,0.0
yellow,20.949923923738762,-17.382084611323243,0.0,0.000196,0.000196,0.0
yellow,21.585733718493135,-17.86762132970077,0.0,0.000196,0.000196,0.0
yellow,22.221546261331287,-18.35315444944319,0.0,0.000196,0.000196,0.0
yellow,22.85736222185167,-18.8386830936481,0.0,0.000196,0.000196,0.0
yellow,23.493182197750194,-19.324206479533743,0.0,0.000196,0.000196,0.0
yellow,24.129006946169625,-19.809723615471352,0.0,0.000196,0.000196,0.0
yellow,24.764837065435433,-20.2952337177597,0.0,0.000196,0.000196,0.0
yellow,25.400673261287384,-20.780735861970275,0.0,0.000196,0.000196,0.0
yellow,26.03651623217854,-21.266229133144027,0.0,0.000196,0.000196,0.0
yellow,26.672366600162164,-21.751712716307868,0.0,0.000196,0.000196,0.0
yellow,27.308225152824306,-22.23718557959771,0.0,0.000196,0.000196,0.0
yellow,27.944092602715628,-22.72264678932409,0.0,0.000196,0.000196,0.0
yellow,28.57996948317045,-23.20809564644082,0.0,0.000196,0.000196,0.0
yellow,29.21585649294342,-23.693531235132927,0.0,0.000196,0.000196,0.0
yellow,29.851754292824957,-24.17895268919763,0.0,0.000196,0.000196,0.0
yellow,30.48766359552009,-24.66435907430226,0.0,0.000196,0.000196,0.0
yellow,31.123585031345893,-25.149749563915982,0.0,0.000196,0.000196,0.0
yellow,31.759519259994022,-25.635123292892597,0.0,0.000196,0.000196,0.0
yellow,32.39545567481718,-26.120494157306343,0.0,0.000196,0.000196,0.0
yellow,33.031222823503256,-26.606086690385556,0.0,0.000196,0.000196,0.0
yellow,33.66650109476685,-27.092318560139052,0.0,0.000196,0.000196,0.0
yellow,34.30093687284848,-27.579649072953583,0.0,0.000196,0.000196,0.0
yellow,34.935325665270355,-28.067021015048557,0.0,0.000196,0.000196,0.0
yellow,35.59385259714613,-28.520649513969513,0.0,0.000196,0.000196,0.0
yellow,36.3007499910899,-28.89470586835316,0.0,0.000196,0.000196,0.0
yellow,37.016420621199416,-29.252217569860516,0.0,0.000196,0.000196,0.0
yellow,37.73302822413045,-29.607841665931613,0.0,0.000196,0.000196,0.0
yellow,38.46105598308285,-29.939155809310467,0.0,0.000196,0.000196,0.0
yellow,39.21851806465666,-30.194102245759233,0.0,0.000196,0.000196,0.0
yellow,40.004569254662016,-30.330673286846945,0.0,0.000196,0.000196,0.0
yellow,40.79258209808584,-30.242476098013853,0.0,0.000196,0.000196,0.0
yellow,41.500283771198426,-29.895729597074478,0.0,0.000196,0.000196,0.0
yellow,42.026097737583285,-29.312905946679184,0.0,0.000196,0.000196,0.0
yellow,42.28531859208824,-28.568768394780818,0.0,0.000196,0.000196,0.0
yellow,42.24049773376707,-27.774678940491206,0.0,0.000196,0.000196,0.0
yellow,42.03519813549542,-27.00195955782175,0.0,0.000196,0.000196,0.0
yellow,41.79146445386996,-26.24000905695876,0.0,0.000196,0.000196,0.0
yellow,41.53654411815926,-25.4817166079295,0.0,0.000196,0.000196,0.0
yellow,41.275329615796345,-24.72556565372981,0.0,0.000196,0.000196,0.0
yellow,41.010119564840174,-23.970806078505422,0.0,0.000196,0.000196,0.0
yellow,40.741904433567655,-23.21710867981253,0.0,0.000196,0.000196,0.0
yellow,40.47162924940126,-22.46414720857667,0.0,0.000196,0.000196,0.0
yellow,40.20024306974128,-21.71158526391057,0.0,0.000196,0.000196,0.0
yellow,39.928699234442256,-20.959080158192826,0.0,0.000196,0.000196,0.0
yellow,39.65795614471252,-20.206286678105208,0.0,0.000196,0.000196,0.0
yellow,39.38899239374913,-19.45285582063373,0.0,0.000196,0.000196,0.0
yellow,39.12266547915219,-18.698488919061894,0.0,0.000196,0.000196,0.0
yellow,38.8559735239087,-17.944252065061107,0.0,0.000196,0.000196,0.0
yellow,38.58242143697178,-17.19248012920353,0.0,0.000196,0.000196,0.0
yellow,38.31232213346678,-16.43950148923969,0.0,0.000196,0.000196,0.0
yellow,38.08744447767696,-15.6721233856953,0.0,0.000196,0.000196,0.0
yellow,37.952073565221504,-14.884350841440417,0.0,0.000196,0.000196,0.0
yellow,37.92575134296433,-14.085573430959073,0.0,0.000196,0.000196,0.0
yellow,38.002378095496496,-13.289782427260866,0.0,0.000196,0.000196,0.0
yellow,38.161649044973885,-12.506176572331759,0.0,0.000196,0.000196,0.0
yellow,38.39249113114189,-11.740553198877054,0.0,0.000196,0.000196,0.0
yellow,38.69334077069938,-10.999603469405242,0.0,0.000196,0.000196,0.0
yellow,39.05646611935535,-10.28709728035437,0.0,0.000196,0.000196,0.0
yellow,39.48459431940063,-9.611864271287267,0.0,0.000196,0.000196,0.0
yellow,40.00976360001801,-9.009835448417528,0.0,0.000196,0.000196,0.0
yellow,40.61645097333452,-8.489114504433697,0.0,0.000196,0.000196,0.0
yellow,41.26169160242542,-8.016292479789985,0.0,0.000196,0.000196,0.0
yellow,41.923161642647244,-7.566404346507008,0.0,0.000196,0.000196,0.0
yellow,42.594972126378615,-7.132069821520748,0.0,0.000196,0.000196,0.0
yellow,43.27219067773438,-6.70619353928316,0.0,0.000196,0.000196,0.0
yellow,43.95044221689913,-6.281959388969237,0.0,0.000196,0.000196,0.0
yellow,44.62784005078444,-5.856363335637604,0.0,0.000196,0.000196,0.0
yellow,45.30501325960093,-5.430409777460459,0.0,0.000196,0.000196,0.0
yellow,45.982821683556175,-5.00546811202201,0.0,0.000196,0.000196,0.0
yellow,46.66209173198588,-4.582867533888176,0.0,0.000196,0.000196,0.0
yellow,47.34285533048998,-4.162676529212875,0.0,0.000196,0.000196,0.0
yellow,48.02434677541858,-3.7436665431876923,0.0,0.000196,0.000196,0.0
yellow,48.705765387831136,-3.3245382043239182,0.0,0.000196,0.000196,0.0
yellow,49.38631514840666,-2.904001268590459,0.0,0.000196,0.000196,0.0
yellow,50.06519657662946,-2.4807777021321904,0.0,0.000196,0.000196,0.0
