tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,-0.7267125887992021,-1.804932736668611,0.0,0.000196,0.000196,0.0
yellow,-0.5755608297512452,-2.590484376394745,0.0,0.000196,0.000196,0.0
yellow,-0.45348215342433673,-3.3810461694397707,0.0,0.000196,0.000196,0.0
yellow,-0.36429293844456234,-4.176003359619007,0.0,0.000196,0.000196,0.0
yellow,-0.30458318285380487,-4.973717290594922,0.0,0.000196,0.000196,0.0
yellow,-0.2725672992706695,-5.773035968528045,0.0,0.000196,0.000196,0.0
yellow,-0.2655877645444943,-6.5729696036733545,0.0,0.000196,0.000196,0.0
yellow,-0.2804686327497771,-7.3728059763060845,0.0,0.000196,0.000196,0.0
yellow,-0.3150131198427497,-8.172039694706138,0.0,0.000196,0.000196,0.0
yellow,-0.36575051490402066,-8.970415442934183,0.0,0.000196,0.000196,0.0
yellow,-0.430558813357812,-9.767776901064344,0.0,0.000196,0.000196,0.0
yellow,-0.5056373199377474,-10.56424132082089,0.0,0.000196,0.000196,0.0
yellow,-0.587960745278898,-11.359992507504149,0.0,0.000196,0.000196,0.0
yellow,-0.6739817410389103,-12.155353996423877,0.0,0.000196,0.000196,0.0
yellow,-0.7604879227945155,-12.950663053820076,0.0,0.000196,0.000196,0.0
yellow,-0.84447360982797,-13.746241609440927,0.0,0.000196,0.000196,0.0
yellow,-0.93477423676201,-14.541099283564881,0.0,0.000196,0.000196,0.0
yellow,-1.0341298348821706,-15.334755689183227,0.0,0.000196,0.000196,0.0
yellow,-1.0327118523168797,-16.132636738397803,0.0,0.000196,0.000196,0.0
yellow,-0.8563152181516095,-16.91045087683813,0.0,0.000196,0.000196,0.0
yellow,-0.4596761903255957,-17.599043348408145,0.0,0.000196,0.000196,0.0
yellow,0.12391679830593316,-18.139658053180405,0.0,0.000196,0.000196,0.0
yellow,0.8297030921055726,-18.511874090944556,0.0,0.000196,0.000196,0.0
yellow,1.5791740366372329,-18.790921163573252,0.0,0.000196,0.000196,0.0
yellow,2.326660860283724,-19.074714502581923,0.0,0.000196,0.000196,0.0
yellow,2.95609039996549,-19.55323418842015,0.0,0.000196,0.000196,0.0
yellow,3.116023979621902,-20.297312443010355,0.0,0.000196,0.000196,0.0
yellow,2.538190591904695,-20.80745541345829,0.0,0.000196,0.000196,0.0
yellow,1.7534685233939162,-20.94303926472869,0.0,0.000196,0.000196,0.0
yellow,0.9563664192405468,-20.89105341679292,0.0,0.000196,0.000196,0.0
yellow,0.17228873494181512,-20.734163574830365,0.0,0.000196,0.000196,0.0
yellow,-0.5994796911771183,-20.5237323150023,0.0,0.000196,0.000196,0.0
yellow,-1.3680713585252509,-20.30178276343027,0.0,0.000196,0.000196,0.0
yellow,-2.1390940357969472,-20.088429075416425,0.0,0.000196,0.000196,0.0
yellow,-2.9101995735136894,-19.875374097648518,0.0,0.000196,0.000196,0.0
yellow,-3.677691206964054,-19.64971875751783,0.0,0.000196,0.000196,0.0
yellow,-4.4381667185990805,-19.401536138419434,0.0,0.000196,0.000196,0.0
yellow,-5.187677864754049,-19.12206531447068,0.0,0.000196,0.000196,0.0
yellow,-5.921116315987548,-18.802954883474627,0.0,0.000196,0.000196,0.0
yellow,-6.632081010946368,-18.436625262035044,0.0,0.000196,0.000196,0.0
yellow,-7.311168666822242,-18.014202314332476,0.0,0.000196,0.000196,0.0
yellow,-7.957880690967651,-17.54348169129909,0.0,0.000196,0.000196,0.0
yellow,-8.588135683434313,-17.05077817995774,0.0,0.000196,0.000196,0.0
yellow,-9.21757518310526,-16.557018995588034,0.0,0.000196,0.000196,0.0
yellow,-9.851257468809896,-16.06871037230489,0.0,0.000196,0.000196,0.0
yellow,-10.483999953500787,-15.579187988004945,0.0,0.000196,0.000196,0.0
yellow,-11.11038830439104,-15.081572009373064,0.0,0.000196,0.000196,0.0
yellow,-11.729744172632584,-14.575222654142854,0.0,0.000196,0.000196,0.0
yellow,-12.344577086965648,-14.063384948770704,0.0,0.000196,0.000196,0.0
yellow,-12.957363152825968,-13.5490961079463,0.0,0.000196,0.000196,0.0
yellow,-13.57058238053031,-13.035324317161042,0.0,0.000196,0.000196,0.0
yellow,-14.186495541406169,-12.524787256025128,0.0,0.000196,0.000196,0.0
yellow,-14.797215176743455,-12.008135219776648,0.0,0.000196,0.000196,0.0
yellow,-15.366462947417153,-11.446872011894957,0.0,0.000196,0.000196,0.0
yellow,-15.787307147068462,-10.781443081528455,0.0,0.000196,0.000196,0.0
yellow,-15.560795692888039,-10.016129047635005,0.0,0.000196,0.000196,0.0
yellow,-15.313056677988158,-9.255666204120466,0.0,0.000196,0.000196,0.0
yellow,-15.153743331911798,-8.472717534735965,0.0,0.000196,0.000196,0.0
yellow,-15.152589617989074,-7.674438094681888,0.0,0.000196,0.000196,0.0
yellow,-15.350205201704908,-6.903767557693784,0.0,0.000196,0.000196,0.0
yellow,-15.753367103259635,-6.217861806698937,0.0,0.000196,0.000196,0.0
yellow,-16.272032504145734,-5.609085441530355,0.0,0.000196,0.000196,0.0
yellow,-16.783054510791036,-4.993573431987232,0.0,0.000196,0.000196,0.0
yellow,-17.296806452988374,-4.3803384108601815,0.0,0.000196,0.000196,0.0
yellow,-17.811976913032304,-3.7682932127015283,0.0,0.000196,0.000196,0.0
yellow,-18.32521195556296,-3.1546256486077984,0.0,0.000196,0.000196,0.0
yellow,-18.8327113496991,-2.5362118209534805,0.0,0.000196,0.000196,0.0
